endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-09-08 22:44:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,10261,2024-09-08 22:00:00
2024-09-08 22:44:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,15827,2024-09-08 22:00:00
2024-09-08 22:44:00,Hot Mess with Alix Earle,I Sent A Hey Girlie DM,2021,2024-09-08 22:00:00
2024-09-08 22:44:00,Hot Mess with Alix Earle,I Sent A Hey Girlie DM,110,2024-09-08 22:00:00
2024-09-09 11:56:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,0,2024-09-09 11:00:00
2024-09-09 13:04:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,53755,2024-09-09 13:00:00
2024-09-09 13:07:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,0,2024-09-09 13:00:00
2024-09-09 13:07:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,53755,2024-09-09 13:00:00
2024-09-09 13:36:00,CHEERS! with Avery Woods,EP 41 | nurse john x nurse ave,1370,2024-09-09 13:00:00
2024-09-09 17:28:00,Crime Junkie,MYSTERIOUS DEATH OF: Jennifer Fergate,4353110,2024-09-09 17:00:00
2024-09-10 14:26:00,Crime Junkie,NEW SHOW: Drowning Creek,2999740,2024-09-10 14:00:00
2024-09-10 14:27:00,Drowning Creek,The Long November | Chapter 1,17220,2024-09-10 14:00:00
2024-09-10 17:11:00,Drowning Creek,Sunflower | Chapter 2,2298668,2024-09-10 17:00:00
2024-09-10 17:59:00,Drowning Creek,The Doorstep to Hell | Chapter 3,2399438,2024-09-10 17:00:00
2024-09-10 18:38:00,Drowning Creek,A House of Glass | Chapter 4,2076577,2024-09-10 18:00:00
2024-09-10 19:22:00,Drowning Creek,Family Ties | Chapter 5,2165394,2024-09-10 19:00:00
2024-09-10 23:16:00,Drowning Creek,"The Cold, Dark Water | Chapter 6",1501642,2024-09-10 23:00:00
2024-09-11 13:27:00,Drowning Creek,"The Cold, Dark Water | Chapter 6",420990,2024-09-11 13:00:00
2024-09-11 13:54:00,Drowning Creek,The Frayed Ends | Chapter 7,91010,2024-09-11 13:00:00
2024-09-12 17:43:00,Drowning Creek,The Frayed Ends | Chapter 7,507210,2024-09-12 17:00:00
2024-09-13 16:24:00,Drowning Creek,The Frayed Ends | Chapter 7,13888,2024-09-13 16:00:00
2024-09-14 02:25:00,Crime Junkie,SERIAL KILLER: Herb Baumeister from Indianapolis,429040,2024-09-14 02:00:00
2024-09-16 15:47:00,Crime Junkie,MURDERED: Michella Welch & Jennifer Bastian,3156260,2024-09-16 15:00:00
2024-09-17 03:00:00,Crime Junkie,MURDERED: Michella Welch & Jennifer Bastian,636890,2024-09-17 03:00:00
2024-09-20 12:20:00,Crime Junkie,MYSTERIOUS DEATH OF: JoAnn Matouk Romain from Detroit,1854795,2024-09-20 12:00:00
2024-09-21 02:31:00,Crime Junkie,MYSTERIOUS DEATH OF: JoAnn Matouk Romain from Detroit,2256602,2024-09-21 02:00:00
2024-09-23 15:22:00,Crime Junkie,MURDERED: Mary Morris,2257436,2024-09-23 15:00:00
2024-09-23 20:19:00,Crime Junkie,MURDERED: Mary Morris,459080,2024-09-23 20:00:00
